SLICES,formation_energy_per_atom,band_gap,crystal_system
+ x a DDO c OOO o Mg Mg Mn Mn Mn Mn O O O O O O O O 0 11 ooo 0 10 oo+ 0 8 ooo 0 6 +o+ 0 12 +oo 0 13 +o+ 1 10 ooo 1 11 ooo 1 9 ooo 1 7 +oo 1 13 +oo 1 12 +oo 2 9 o-o 2 8 o-o 2 10 ooo 2 12 +-o 2 6 +oo 2 7 +oo 3 8 o-- 3 9 o-o 3 11 oo- 3 13 +-o 3 7 +o- 3 6 +oo 4 13 o-o 4 12 o-o 4 6 ooo 4 9 o-o 4 11 oo- 4 10 ooo 5 12 o-o 5 13 o-+ 5 7 ooo 5 8 o-o 5 10 ooo 5 11 ooo ,-2.269763420123153,0.5313999999999997,monoclinic
+ x a DDO c OOO o Lu Lu Mg Mg Cr Cr S S S S S S S S 0 7 ooo 0 8 ooo 0 11 ooo 0 9 ooo 0 10 ooo 0 13 ooo 1 10 -oo 1 13 -oo 1 6 -oo 1 12 ooo 1 7 ooo 1 8 ooo 2 6 ooo 2 13 oo+ 2 10 o+o 2 11 +oo 3 9 -oo 3 8 o-o 3 7 oo- 3 12 ooo 4 12 ooo 4 11 oo- 4 8 ooo 4 10 oo- 4 9 ooo 4 6 oo- 5 11 ooo 5 12 o+o 5 7 o+o 5 13 ooo 5 6 ooo 5 9 o+o ,-1.6449209453571427,0.8926000000000003,monoclinic
o w n OOO i OOO e OOO o Ce Ce Ce Al Al Al Cu Cu Cu 0 5 ooo 0 5 oo+ 0 8 ooo 0 7 ooo 0 7 oo+ 0 4 ooo 0 4 oo+ 0 6 ooo 0 6 oo+ 0 3 ooo 0 3 oo+ 1 7 o-o 1 7 o-+ 1 4 ooo 1 4 oo+ 1 6 ooo 1 6 oo+ 1 3 o-o 1 3 o-+ 1 5 +oo 1 5 +o+ 1 8 +oo 2 6 -oo 2 6 -o+ 2 3 -oo 2 3 -o+ 2 8 o+o 2 5 ooo 2 5 oo+ 2 4 o+o 2 4 o++ 2 7 ooo 2 7 oo+ 3 7 ooo 3 5 ++o 3 6 ooo 3 8 ++- 3 8 ++o 3 4 ++o 4 8 oo- 4 8 ooo 4 5 ooo 4 7 o-o 4 6 ooo 5 6 -oo 5 8 oo- 5 8 ooo 5 7 ooo ,-0.3234990950000001,0.0,hexagonal
o v a DDD b OOO g OOO j OOO o Nd Co Ge Ge Ge 0 3 oo- 0 3 o+o 0 3 +oo 0 3 +++ 0 1 --- 0 1 -oo 0 1 o-o 0 1 ooo 0 1 oo+ 0 2 o-- 0 2 oo- 0 2 ooo 0 2 +oo 0 4 -o- 0 4 oo- 0 4 ooo 0 4 o+o 1 2 oo- 1 2 +oo 1 4 o+o 1 4 oo- 1 3 ++o 2 3 ooo 2 3 o++ 3 4 -o- 3 4 ooo ,-0.5672561199999997,0.0,tetragonal
+ x b DOD c ODO o Li Li Li Li Eu Eu Eu Eu Bi Bi Bi Bi 0 6 --o 0 6 o-o 0 11 -o+ 0 11 oo+ 0 9 o-o 0 4 oo+ 0 8 ooo 0 5 oo+ 0 7 ooo 0 7 -oo 1 7 -oo 1 7 ooo 1 10 -oo 1 10 ooo 1 5 ooo 1 8 ooo 1 4 o+o 1 9 ooo 1 6 ooo 1 6 -oo 2 9 oo- 2 9 +o- 2 4 o+o 2 4 ++o 2 7 oo- 2 10 ooo 2 6 oo- 2 11 o+o 2 5 +oo 2 5 ooo 3 8 ooo 3 8 +oo 3 5 ooo 3 5 +oo 3 11 ooo 3 6 o-o 3 10 ooo 3 7 ooo 3 4 +oo 3 4 ooo 4 10 --o 4 10 o-o 4 11 -oo 4 11 ooo 4 5 o-o 4 5 ooo 4 9 o-- 4 8 ooo 5 11 -oo 5 11 ooo 5 10 -oo 5 10 ooo 5 8 ooo 5 9 oo- 6 9 ooo 6 9 +oo 6 8 o+o 6 8 ++o 6 10 ooo 6 7 ooo 6 7 o+o 6 11 o++ 7 8 ooo 7 8 +oo 7 9 ooo 7 9 +oo 7 11 oo+ 7 10 ooo ,-0.7968139186111122,0.0,orthorhombic
o u a DDD b DDD g ODB c DOF h ODB + OBZ Mg Mg Ni Ni Ni Ni O O O O O O O O 0 9 ooo 0 10 ooo 0 11 oo+ 0 13 oo+ 1 8 oo- 1 7 oo- 1 12 ooo 1 6 ooo 2 13 --o 2 6 --o 2 12 -oo 2 10 o-o 2 9 ooo 2 8 ooo 3 12 -o- 3 7 -o- 3 13 -oo 3 8 oo- 3 11 ooo 3 10 ooo 4 11 o-o 4 10 o-o 4 9 ooo 4 6 o-o 4 12 ooo 4 7 ooo 5 6 --- 5 13 --o 5 7 -o- 5 11 o-o 5 8 oo- 5 9 ooo ,-1.5677035550000002,0.2858000000000005,tetragonal
+ v a DDD b OOO g OOO c OOO o Na Na Sm Sm Ti Ti Ti O O O O O O O O O O 0 12 oo- 0 12 o+o 0 12 +oo 0 12 +++ 0 10 oo- 0 10 +oo 0 9 oo- 0 9 o+o 0 11 ooo 1 11 --- 1 11 -oo 1 11 o-o 1 11 oo+ 1 12 ooo 1 8 -o- 1 8 ooo 1 7 o-- 1 7 ooo 2 14 oo- 2 14 o+o 2 14 +oo 2 14 +++ 2 13 oo- 2 13 o+o 2 16 oo- 2 16 +oo 2 10 oo- 2 10 +oo 2 9 oo- 2 9 o+o 3 15 --- 3 15 -oo 3 15 o-o 3 15 oo+ 3 7 o-- 3 7 ooo 3 8 -o- 3 8 ooo 3 16 oo- 3 16 +oo 3 13 oo- 3 13 o+o 4 11 ooo 4 7 oo- 4 7 +oo 4 8 oo- 4 8 o+o 4 15 ooo 5 10 o-- 5 10 ooo 5 9 -o- 5 9 ooo 5 12 ooo 5 14 ooo 6 15 --o 6 13 -o- 6 13 ooo 6 16 ooo 6 16 o-- 6 14 ooo 7 15 oo+ 7 15 -oo 8 15 oo+ 8 15 o-o 9 14 +o+ 9 14 ooo 10 14 o++ 10 14 ooo 13 14 +o+ 13 14 ooo 13 15 o-+ 13 15 --o 14 16 o-- 14 16 ooo 15 16 +o- 15 16 ++o ,-3.3553108478296148,2.019,tetragonal
o z o V V V V Cr Cr Cr Cr O O O O O O O O O O O O 0 9 ooo 0 10 ooo 0 13 o+o 0 8 ooo 0 11 ooo 0 15 oo+ 1 11 o-o 1 8 ooo 1 17 oo+ 1 13 +oo 1 14 +oo 1 9 +oo 2 17 -oo 2 12 -oo 2 15 -oo 2 9 oo- 2 18 ooo 2 19 ooo 3 16 -oo 3 17 -oo 3 12 -oo 3 19 o-o 3 18 ooo 3 14 ooo 4 12 ooo 4 8 ooo 4 11 ooo 4 14 +oo 4 9 +oo 4 10 +oo 5 18 ooo 5 19 ooo 5 10 ooo 5 12 ooo 5 15 ooo 5 16 o+o 6 10 o-o 6 13 ooo 6 14 ooo 6 16 ooo 6 11 o-o 6 8 ooo 7 13 oo- 7 19 o-o 7 18 ooo 7 15 o-o 7 16 ooo 7 17 ooo ,-2.437314119499999,1.3735999999999997,triclinic
+ w n OOO b OOD e OOO o Rb Rb Sc Sc O O O O 0 7 -oo 0 7 ooo 0 7 o+o 0 5 -oo 0 5 ooo 0 5 o+o 0 0 ++o 0 0 o+o 0 0 +oo 1 6 o-o 1 6 ooo 1 6 +oo 1 4 o-o 1 4 ooo 1 4 +oo 1 1 ++o 1 1 o+o 1 1 +oo 2 5 --- 2 5 -o- 2 5 oo- 2 6 --o 2 6 o-o 2 6 ooo 3 4 --o 3 4 o-o 3 4 ooo 3 7 --o 3 7 -oo 3 7 ooo ,-3.000575480625,3.4968,hexagonal
+ x a DDO c OOD o Na Na In In Si Si Si Si O O O O O O O O O O O O 0 14 oo+ 0 19 ooo 0 9 ooo 0 13 o-o 0 12 +oo 0 8 ooo 1 16 ooo 1 18 -oo 1 15 o+o 1 11 ooo 1 10 ooo 1 17 oo- 2 16 ooo 2 18 -o+ 2 13 -oo 2 12 o+o 2 17 ooo 2 15 o+o 3 13 o-o 3 14 ooo 3 18 o-o 3 15 +oo 3 12 +o- 3 8 ooo 4 15 ooo 4 9 oo- 4 10 ooo 4 14 ooo 5 11 ooo 5 19 ooo 5 8 ooo 5 18 ooo 6 12 ooo 6 16 ooo 6 10 ooo 6 9 ooo 7 17 ooo 7 19 ooo 7 11 oo+ 7 13 ooo ,-2.8000169371551733,3.4881,monoclinic
+ v a DDD b OOO g OOO c OOO o La Si Si Ag Ag 0 1 --- 0 1 -oo 0 1 o-o 0 1 oo+ 0 2 --- 0 2 -oo 0 2 o-o 0 2 oo+ 0 4 --- 0 4 -o- 0 4 -oo 0 4 ooo 0 3 --- 0 3 o-- 0 3 o-o 0 3 ooo 1 2 ooo 1 3 oo- 1 3 +oo 1 4 oo- 1 4 o+o 2 3 o-- 2 3 ooo 2 4 -o- 2 4 ooo 3 4 -o- 3 4 -+o 3 4 ooo 3 4 o++ ,-0.4394763736666668,0.0,tetragonal
+ x b DOD c ODO o Ca Ca Ca Ca Sn Sn Sn Sn S S S S S S S S S S S S 0 18 --o 0 18 o-o 0 15 -oo 0 15 ooo 0 19 -oo 0 19 ooo 0 13 o-- 0 9 o-o 1 19 -oo 1 19 ooo 1 18 -oo 1 18 ooo 1 14 -oo 1 14 ooo 1 8 ooo 1 12 ooo 2 17 ooo 2 17 +oo 2 13 ooo 2 13 +oo 2 16 o+o 2 16 ++o 2 11 o+o 2 15 o++ 3 12 ooo 3 12 +oo 3 16 ooo 3 16 +oo 3 17 ooo 3 17 +oo 3 14 ooo 3 10 ooo 4 15 -o+ 4 15 oo+ 4 10 -oo 4 10 ooo 4 16 ooo 4 8 oo+ 5 14 -oo 5 14 ooo 5 11 -+o 5 11 o+o 5 17 ooo 5 9 ooo 6 8 ooo 6 8 +oo 6 13 oo- 6 13 +o- 6 10 oo- 6 18 ooo 7 9 o-o 7 9 +-o 7 12 ooo 7 12 +oo 7 11 ooo 7 19 ooo 12 14 -oo 12 14 ooo 13 15 -++ 13 15 o++ ,-1.3143877423750006,0.7673999999999994,orthorhombic
+ v a DDD b OOO g OOO c OOO o Th Mn Mn Mn Mn Mn Mn Mn Mn Mn Mn Mn Mn 0 9 --- 0 9 oo- 0 2 --- 0 2 ooo 0 10 --o 0 10 ooo 0 1 ooo 0 1 o-o 0 8 -o- 0 7 ooo 0 4 -oo 0 4 ooo 0 6 o-- 0 11 --- 0 11 oo- 0 12 --o 0 12 ooo 0 3 oo- 0 3 ooo 0 5 ooo 1 11 -o- 1 4 -oo 1 4 o+o 1 6 oo- 1 5 o+o 1 12 -oo 1 8 -o- 1 7 ooo 1 9 oo- 1 10 ooo 2 7 ooo 2 3 ooo 2 3 ++o 2 10 ooo 2 8 o+o 2 9 ooo 2 5 ooo 2 11 ooo 2 12 ooo 2 6 +oo 3 10 --o 3 7 ooo 3 9 ooo 3 8 -oo 3 12 --o 3 6 o-o 3 5 ooo 3 11 ooo 4 6 o-- 4 11 oo- 4 12 ooo 4 5 ooo 4 9 o-- 4 10 o-o 4 8 oo- 4 7 +oo 5 6 o-o 5 6 +oo 5 12 --o 5 12 ooo 5 11 ooo 5 10 o-o 5 7 o-o 5 7 +oo 5 8 ooo 6 12 -oo 6 11 -oo 6 11 o+o 6 7 ooo 6 9 ooo 6 8 -oo 6 8 o+o 7 8 -oo 7 8 o+o 7 10 --o 7 10 ooo 7 12 -oo 7 9 ooo 8 11 ooo 8 10 o-o 8 9 o-o 8 9 +oo 9 11 ooo 9 10 oo+ 10 12 ooo 11 12 oo+ ,0.0079727211405829,0.0,tetragonal
+ w b OOO g OOO c OOO o Mg Mg Mg Hg Au Au 0 3 ooo 0 3 o+o 0 3 +oo 0 3 ++o 0 4 ooo 0 4 o+o 0 4 +oo 0 4 ++o 0 0 +oo 0 0 o+o 0 1 ooo 1 4 ooo 1 4 o+o 1 4 +oo 1 4 ++o 1 5 ooo 1 5 o+o 1 5 +oo 1 5 ++o 1 1 +oo 1 1 o+o 1 2 ooo 2 5 ooo 2 5 o+o 2 5 +oo 2 5 ++o 2 3 oo+ 2 3 o++ 2 3 +o+ 2 3 +++ 2 2 +oo 2 2 o+o 3 3 +oo 3 3 o+o 3 5 oo- 3 4 ooo 4 4 +oo 4 4 o+o 4 5 ooo 5 5 +oo 5 5 o+o ,-0.4755957458333333,0.0,tetragonal
o w n OOO i OOO e OOO o La La La Cd Cd Cd Pd Pd Pd 0 5 ooo 0 5 oo+ 0 8 ooo 0 7 ooo 0 7 oo+ 0 6 ooo 0 6 oo+ 0 4 ooo 0 4 oo+ 0 3 ooo 0 3 oo+ 1 7 o-o 1 7 o-+ 1 6 ooo 1 6 oo+ 1 4 ooo 1 4 oo+ 1 3 o-o 1 3 o-+ 1 5 +oo 1 5 +o+ 1 8 +oo 2 6 -oo 2 6 -o+ 2 3 -oo 2 3 -o+ 2 8 o+o 2 5 ooo 2 5 oo+ 2 4 o+o 2 4 o++ 2 7 ooo 2 7 oo+ 3 7 ooo 3 5 ++o 3 6 ooo 3 8 ++- 3 8 ++o 3 4 ++o 4 8 oo- 4 8 ooo 4 5 ooo 4 7 o-o 4 6 ooo 5 6 -oo 5 8 oo- 5 8 ooo 5 7 ooo ,-0.6928783761111114,0.0,hexagonal
+ w a DDO b OOD c OOD o Cs Cs Tb Tb Cd Cd Se Se Se Se Se Se 0 6 o-o 0 6 +oo 0 0 ++o 0 9 oo- 0 8 ooo 0 10 o-o 0 10 +oo 0 11 o-o 0 11 +oo 0 5 o-o 0 5 +oo 1 8 -oo 1 8 o+o 1 9 -oo 1 9 o+o 1 4 -oo 1 4 o+o 1 1 ++o 1 11 ooo 1 10 oo+ 1 7 -oo 1 7 o+o 2 11 --o 2 11 ooo 2 7 -oo 2 6 o-o 2 8 --o 2 8 ooo 3 10 --o 3 10 ooo 3 7 -o- 3 9 --- 3 9 oo- 3 6 o-o 4 7 -oo 4 7 o+o 4 8 ooo 4 9 ooo 5 10 ooo 5 11 ooo 5 6 o-o 5 6 +oo ,-1.5936069816603808,2.0651,orthorhombic
+ x n OOO e OOO o Pr Pr Pr Pr Mn Mn As As As As As 0 9 o-o 0 9 ooo 0 9 +oo 0 10 oo+ 0 10 +o+ 0 10 +++ 1 10 ooo 1 10 o+o 1 10 ++o 1 8 -oo 1 8 ooo 1 8 o+o 2 6 --o 2 6 -oo 2 6 ooo 2 5 --o 2 5 o-o 2 5 ooo 2 9 --o 2 9 o-o 2 9 ooo 3 8 --o 3 8 -oo 3 8 ooo 3 7 --o 3 7 o-o 3 7 ooo 3 4 --o 3 4 -oo 3 4 ooo 4 7 o-o 4 7 ooo 4 7 +oo 4 5 o-o 4 5 ooo 4 5 +oo 4 6 ooo 5 6 -oo 5 6 ooo 5 6 o+o 5 7 ooo ,-1.0626836082601885,0.0,trigonal
+ t a ODD a DOD b OOO c OOO d OOO e OOO o Rb Rb Na Fe F F F F F F 0 4 ooo 0 4 o+o 0 7 oo+ 0 7 o+o 0 9 ooo 0 9 +oo 0 5 o+o 0 5 +oo 0 8 oo+ 0 8 +oo 0 6 ooo 0 6 oo+ 1 5 oo- 1 5 ooo 1 8 o-o 1 8 ooo 1 7 -oo 1 7 ooo 1 9 o-o 1 9 oo- 1 4 -oo 1 4 oo- 1 6 -oo 1 6 o-o 2 5 ooo 2 8 ooo 2 9 ooo 2 7 ooo 2 4 ooo 2 6 ooo 3 6 --o 3 4 -o- 3 7 -oo 3 9 o-- 3 8 o-o 3 5 oo- ,-2.951095510655173,4.1195,cubic
+ y c ODD o Bi Bi Bi Bi O O O O F F F F 0 4 ooo 0 10 oo- 0 5 ooo 0 8 ooo 0 7 o-o 0 9 ooo 0 6 ooo 1 9 ooo 1 6 ooo 1 8 o+o 1 7 ooo 1 5 +oo 1 11 +o- 1 4 ++o 2 7 --o 2 8 -o+ 2 6 -oo 2 4 ooo 2 11 o-o 2 5 ooo 2 10 ooo 3 5 ooo 3 10 ooo 3 4 o+o 3 11 ooo 3 6 ooo 3 9 oo+ 3 7 ooo 4 11 o-o 4 7 --o 5 10 ooo 5 6 ooo 6 9 ooo 7 8 o+o 8 9 o-o 8 9 ooo 8 11 +-- 9 10 oo- 10 11 o-o 10 11 ooo ,-2.197270260000001,2.5886,monoclinic
+ v a DDD b OOO g OOO c OOO o Ac Ac Ac Y 0 1 o-- 0 1 ooo 0 1 +-o 0 1 +o+ 0 3 ooo 0 3 +oo 0 3 +o+ 0 3 +++ 0 2 o-o 0 2 ooo 0 2 oo+ 0 2 +o+ 1 3 ooo 1 3 o+o 1 3 o++ 1 3 +++ 1 2 -oo 1 2 ooo 1 2 oo+ 1 2 o++ 2 3 oo- 2 3 o+o 2 3 +oo 2 3 +++ ,0.0574380964583332,0.0,tetragonal
+ v a DDD b OOO g OOO c OOD o Cs Cs Cs Cs Cs Cs Zn Zn Cl Cl Cl Cl Cl Cl Cl Cl Cl Cl 0 9 -oo 0 8 -oo 0 10 ooo 0 11 o++ 0 15 ooo 0 17 oo+ 0 16 o++ 0 12 oo+ 1 11 ooo 1 15 ooo 1 8 -oo 1 16 ooo 1 14 o-o 1 12 o-o 1 13 ooo 1 17 oo+ 2 10 o-- 2 8 -o- 2 11 ooo 2 12 ooo 2 15 ooo 2 13 -o- 2 14 o-- 2 16 ooo 2 17 ooo 2 9 ooo 3 13 oo- 3 14 o-- 3 17 ooo 3 9 ooo 3 11 +oo 3 8 ooo 3 15 +oo 3 10 +oo 4 15 oo- 4 17 ooo 4 14 oo- 4 16 o+o 4 12 +oo 4 9 oo- 4 13 oo- 4 11 ++o 4 10 +oo 4 8 o+o 5 17 ooo 5 12 ooo 5 16 o+o 5 13 o+o 5 14 ooo 5 10 +oo 5 9 ooo 5 11 +++ 6 16 ooo 6 9 ooo 6 8 ooo 6 13 ooo 7 12 ooo 7 10 ooo 7 15 ooo 7 14 ooo 8 11 +oo 8 17 +o+ 9 11 +++ 9 17 ooo 10 11 o++ 10 17 -oo 11 14 --- 11 13 -o- 11 12 o-o 11 16 ooo 11 15 ooo 12 17 ooo 13 17 oo+ 14 17 o++ 15 17 oo+ 16 17 o-o ,-2.0924294248659,4.2844,tetragonal
+ t a ODD a DOD b OOO c OOO d OOO e OOO o Li Zn Au Au 0 3 ooo 0 3 oo+ 0 3 +oo 0 3 o+o 0 1 oo+ 0 1 o+o 0 1 o++ 0 1 +oo 0 1 +o+ 0 1 ++o 0 2 -oo 0 2 o-o 0 2 oo- 0 2 ooo 1 2 --- 1 2 --o 1 2 o-- 1 2 -o- 1 3 -oo 1 3 o-o 1 3 oo- 1 3 ooo 2 3 oo+ 2 3 o+o 2 3 o++ 2 3 +oo 2 3 +o+ 2 3 ++o ,-0.4297917583333333,0.0,cubic
+ y c OOD o Cs Cs Cs Cs U U Hg Hg Hg Hg Se Se Se Se Se Se Se Se Se Se 0 17 ooo 0 17 +oo 0 16 o+o 0 16 ++o 0 7 o+o 0 6 ooo 0 13 oo+ 0 13 +o+ 0 0 +oo 0 15 oo+ 0 10 o+o 1 14 ooo 1 14 +oo 1 16 ooo 1 16 +oo 1 7 ooo 1 6 o-o 1 12 ooo 1 12 +oo 1 1 +oo 1 18 o-o 1 11 ooo 2 11 -oo 2 11 ooo 2 12 ooo 2 19 -+o 2 19 o+o 2 14 o+o 2 18 -oo 2 18 ooo 2 2 +oo 2 9 o+o 2 8 ooo 3 13 o-o 3 10 -o- 3 10 oo- 3 19 -oo 3 19 ooo 3 17 oo- 3 15 -oo 3 15 ooo 3 3 +oo 3 9 ooo 3 8 o-o 4 12 ooo 4 12 +oo 4 17 ooo 4 17 +oo 4 10 ooo 4 18 ooo 5 15 -oo 5 15 ooo 5 14 ooo 5 13 ooo 5 11 -oo 5 11 ooo 6 18 -oo 6 18 ooo 6 17 ooo 6 16 o+o 7 16 ooo 7 12 ooo 7 10 -oo 7 10 ooo 8 13 ooo 8 13 +oo 8 11 ooo 8 19 o+o 9 14 ooo 9 14 +oo 9 19 ooo 9 15 ooo ,-1.098118748758082,0.0,monoclinic
o w a ODD b OOO j OOO o Er Er Mn Ge Ge Ge Ge 0 4 -oo 0 4 -+o 0 4 ooo 0 4 o+o 0 6 -oo 0 6 ooo 0 3 oo- 0 3 o+- 0 5 ooo 0 5 o+o 0 2 ooo 0 1 o+- 0 1 -+- 1 2 o-o 1 2 ooo 1 2 +-o 1 2 +oo 1 3 o-o 1 3 ooo 1 3 +-o 1 3 +oo 1 5 ooo 1 5 +oo 1 6 o-o 1 6 ooo 1 4 o-+ 1 4 oo+ 2 6 -oo 2 6 ooo 2 5 ooo 2 5 o+o 2 3 ooo 3 4 -o+ 3 4 oo+ 4 5 ooo 4 5 +oo 4 6 o-o 4 6 ooo ,-0.5148157154187193,0.0,orthorhombic
